Neighbourhood,Assault Rate 2014,Assault Rate 2015,Assault Rate 2016,Assault Rate 2017,Assault Rate 2018,Assault Rate 2019,Assault Rate 2020,Assault Rate 2021,Assault Rate 2022,Assault Rate 2023
Dovercourt Village,412.0070496,422.159668,587.447937,693.9317627,684.9315186,694.3439941,542.7310181,734.3318481,688.9549561,751.6080322
Yonge-Bay Corridor,3817.829346,4789.324707,4208.070313,4995.443848,4575.786621,5048.573242,2842.933594,2343.636719,3116.864746,3686.104248
Church-Wellesley,1265.032959,1136.489014,1585.940796,1592.307251,1803.956787,1687.641602,1438.443115,1841.425171,1730.725952,1456.098999
Wellington Place,3034.604004,3099.981934,3028.661133,2638.509277,2241.063232,1810.899536,1280,1424.772095,1698.742065,1485.971558
West Queen West,982.5410156,1028.16272,890.6409912,976.0298462,752.8848877,795.7376099,698.7258301,764.0357666,789.6868286,713.5306396
Yonge-St.Clair,127.9079056,205.6636658,250.0195313,199.7388,203.8351135,260.3198242,169.9423676,368.8131714,328.5151062,250.8421173
Casa Loma,236.6217651,308.1664124,387.1432495,301.4451599,383.4422607,473.3626099,555.7455444,392.9273071,499.3652039,467.7580872
Wychwood,397.1464233,514.289917,599.7221069,404.4489441,532.4435425,483.3963928,585.0804443,417.3912964,587.6659546,609.213501
Palmerston-Little Italy,583.4143677,557.7633667,481.4065552,574.3944702,567.8319702,645.2050781,408.0244751,533.078186,579.9276733,523.8451538
Trinity-Bellwoods,701.6312866,660.3384399,811.7075195,750.1171875,710.7772217,651.6147461,587.2626953,726.0877075,779.3833008,780.2851563
